target_name,target_acc,amrfinder_results,nucleotide_fasta,protein_fasta,gff,contig_report
SAMEA104703755,PDT000004257.1,SAMEA104703755.amrfinder-plus,SAMEA104703755.dna.fa,SAMEA104703755.prot.fa,SAMEA104703755.gff,
SAMEA2146812,PDT000009693.1,SAMEA2146812.amrfinder-plus,SAMEA2146812.dna.fa,SAMEA2146812.prot.fa,SAMEA2146812.gff,
SAMEA3894114,PDT000002449.1,SAMEA3894114.amrfinder-plus,SAMEA3894114.dna.fa,SAMEA3894114.prot.fa,SAMEA3894114.gff,
SAMEA4885032,PDT000005615.1,SAMEA4885032.amrfinder-plus,SAMEA4885032.dna.fa,SAMEA4885032.prot.fa,SAMEA4885032.gff,
SAMN09741845,PDT000020615.1,SAMN09741845.amrfinder-plus,SAMN09741845.dna.fa,SAMN09741845.prot.fa,SAMN09741845.gff,
SAMN10039233,PDT000021060.1,SAMN10039233.amrfinder-plus,SAMN10039233.dna.fa,SAMN10039233.prot.fa,SAMN10039233.gff,
GCA_000258325.1,PDT000023685.1,GCA_000258325.1.amrfinder,GCA_000258325.1_Enterococcus_faecium_LCT-EF90_version_1.0_genomic.fna,,,
GCA_000262105.1,PDT000023687.1,GCA_000262105.1.amrfinder,GCA_000262105.1_Enterococcus_faecium_LCT-EF128_version_1.0_genomic.fna,,,
GCA_000313155.1,PDT000023729.1,GCA_000313155.1.amrfinder,GCA_000313155.1_ASM31315v1_genomic.fna,,,
GCA_000313195.1,PDT000023727.1,GCA_000313195.1.amrfinder,GCA_000313195.1_ASM31319v1_genomic.fna,,,
GCA_000328425.1,PDT000023696.1,GCA_000328425.1.amrfinder,GCA_000328425.1_Hybrid_assembly_genomic.fna,,,
GCA_000411015.1,PDT000024065.1,GCA_000411015.1.amrfinder,GCA_000411015.1_Version_1_for_Enterococcus_faecium_Strain_LCT-EF297_genome_genomic.fna,,,
GCA_000411035.1,PDT000024060.1,GCA_000411035.1.amrfinder,GCA_000411035.1_Version_1_for_Enterococcus_faecium_Strain_LCT-EF301_genome_genomic.fna,,,
GCA_000442045.1,PDT000024067.1,GCA_000442045.1.amrfinder,GCA_000442045.1_EfmE155_v1.0_genomic.fna,,,
GCA_000477575.1,PDT000024070.1,GCA_000477575.1.amrfinder,GCA_000477575.1_EfmE525_v1.0_genomic.fna,,,
GCA_000477595.1,PDT000024071.1,GCA_000477595.1.amrfinder,GCA_000477595.1_EfmE1165_v1.0_genomic.fna,,,
GCA_000524625.1,PDT000024112.1,GCA_000524625.1.amrfinder,GCA_000524625.1_MMA1_genomic.fna,,,
GCA_000717435.1,PDT000024131.1,GCA_000717435.1.amrfinder,GCA_000717435.1_Efa.HS0914.v1.0_genomic.fna,,,
GCA_000739195.1,PDT000024133.1,GCA_000739195.1.amrfinder,GCA_000739195.1_ASM73919v1_genomic.fna,,,
GCA_000763355.1,PDT000024136.1,GCA_000763355.1.amrfinder,GCA_000763355.1_ASM76335v1_genomic.fna,,,
GCA_000763435.1,PDT000024137.1,GCA_000763435.1.amrfinder,GCA_000763435.1_ASM76343v1_genomic.fna,,,
GCA_000787055.1,PDT000024146.1,GCA_000787055.1.amrfinder,GCA_000787055.1_ASM78705v1_genomic.fna,,,
GCA_000787065.1,PDT000024147.1,GCA_000787065.1.amrfinder,GCA_000787065.1_ASM78706v1_genomic.fna,,,
GCA_000934365.1,PDT000024157.1,GCA_000934365.1.amrfinder,GCA_000934365.1_ASM93436v1_genomic.fna,,,
GCA_000951815.1,PDT000024158.1,GCA_000951815.1.amrfinder,GCA_000951815.1_ASM95181v1_genomic.fna,,,
GCA_000982595.1,PDT000024161.1,GCA_000982595.1.amrfinder,GCA_000982595.1_JH2_genomic.fna,,,
GCA_001005615.1,PDT000024162.1,GCA_001005615.1.amrfinder,GCA_001005615.1_ASM100561v1_genomic.fna,,,
GCA_001025245.1,PDT000024164.1,GCA_001025245.1.amrfinder,GCA_001025245.1_ASM102524v1_genomic.fna,,,
GCA_001025255.1,PDT000024165.1,GCA_001025255.1.amrfinder,GCA_001025255.1_ASM102525v1_genomic.fna,,,
GCA_001025265.1,PDT000024163.1,GCA_001025265.1.amrfinder,GCA_001025265.1_ASM102526v1_genomic.fna,,,
